Subject,Topic,Marks,Question
Physics,Newton's Laws,3,Discuss the advantages and disadvantages of Newton's Laws in Physics.
Physics,Newton's Laws,2,Write a short essay on Newton's Laws in Physics and its impact.
Physics,Newton's Laws,4,How does Newton's Laws relate to other concepts in Physics?
Physics,Newton's Laws,3,Write a short essay on Newton's Laws in Physics and its impact.
Physics,Newton's Laws,1,Describe the applications of Newton's Laws in real life.
Physics,Newton's Laws,4,What challenges are faced in understanding or applying Newton's Laws in Physics?
Physics,Newton's Laws,3,Write a short essay on Newton's Laws in Physics and its impact.
Physics,Newton's Laws,1,What challenges are faced in understanding or applying Newton's Laws in Physics?
Physics,Newton's Laws,2,Explain Newton's Laws in Physics with a suitable example.
Physics,Newton's Laws,2,Provide a detailed analysis of Newton's Laws and its importance.
Physics,Electromagnetism,3,Explain Electromagnetism in Physics with a suitable example.
Physics,Electromagnetism,2,Explain Electromagnetism in Physics with a suitable example.
Physics,Electromagnetism,3,How does Electromagnetism relate to other concepts in Physics?
Physics,Electromagnetism,4,Provide a detailed analysis of Electromagnetism and its importance.
Physics,Electromagnetism,2,What are the key principles of Electromagnetism in Physics?
Physics,Electromagnetism,3,How does Electromagnetism relate to other concepts in Physics?
Physics,Electromagnetism,1,Illustrate Electromagnetism with a diagram and explain its significance.
Physics,Electromagnetism,4,Write a short essay on Electromagnetism in Physics and its impact.
Physics,Electromagnetism,2,Illustrate Electromagnetism with a diagram and explain its significance.
Physics,Electromagnetism,1,Compare and contrast different theories related to Electromagnetism in Physics.
Physics,Optics,4,Discuss the advantages and disadvantages of Optics in Physics.
Physics,Optics,3,Explain Optics in Physics with a suitable example.
Physics,Optics,1,How does Optics relate to other concepts in Physics?
Physics,Optics,1,Write a short essay on Optics in Physics and its impact.
Physics,Optics,4,Discuss the advantages and disadvantages of Optics in Physics.
Physics,Optics,2,What are the key principles of Optics in Physics?
Physics,Optics,3,Describe the applications of Optics in real life.
Physics,Optics,2,Provide a detailed analysis of Optics and its importance.
Physics,Optics,2,Describe the applications of Optics in real life.
Physics,Optics,4,Illustrate Optics with a diagram and explain its significance.
Physics,Thermodynamics,3,Explain Thermodynamics in Physics with a suitable example.
Physics,Thermodynamics,3,Write a short essay on Thermodynamics in Physics and its impact.
Physics,Thermodynamics,1,Write a short essay on Thermodynamics in Physics and its impact.
Physics,Thermodynamics,2,Explain Thermodynamics in Physics with a suitable example.
Physics,Thermodynamics,1,What challenges are faced in understanding or applying Thermodynamics in Physics?
Physics,Thermodynamics,3,What challenges are faced in understanding or applying Thermodynamics in Physics?
Physics,Thermodynamics,3,What challenges are faced in understanding or applying Thermodynamics in Physics?
Physics,Thermodynamics,1,Compare and contrast different theories related to Thermodynamics in Physics.
Physics,Thermodynamics,4,How does Thermodynamics relate to other concepts in Physics?
Physics,Thermodynamics,4,How does Thermodynamics relate to other concepts in Physics?
Physics,Quantum Mechanics,2,What are the key principles of Quantum Mechanics in Physics?
Physics,Quantum Mechanics,2,Write a short essay on Quantum Mechanics in Physics and its impact.
Physics,Quantum Mechanics,3,Provide a detailed analysis of Quantum Mechanics and its importance.
Physics,Quantum Mechanics,2,Explain Quantum Mechanics in Physics with a suitable example.
Physics,Quantum Mechanics,1,Explain Quantum Mechanics in Physics with a suitable example.
Physics,Quantum Mechanics,2,Compare and contrast different theories related to Quantum Mechanics in Physics.
Physics,Quantum Mechanics,4,How does Quantum Mechanics relate to other concepts in Physics?
Physics,Quantum Mechanics,2,Illustrate Quantum Mechanics with a diagram and explain its significance.
Physics,Quantum Mechanics,2,Explain Quantum Mechanics in Physics with a suitable example.
Physics,Quantum Mechanics,4,Explain Quantum Mechanics in Physics with a suitable example.
Physics,Kinematics,2,Describe the applications of Kinematics in real life.
Physics,Kinematics,3,Explain Kinematics in Physics with a suitable example.
Physics,Kinematics,2,Discuss the advantages and disadvantages of Kinematics in Physics.
Physics,Kinematics,2,Discuss the advantages and disadvantages of Kinematics in Physics.
Physics,Kinematics,1,Provide a detailed analysis of Kinematics and its importance.
Physics,Kinematics,3,Provide a detailed analysis of Kinematics and its importance.
Physics,Kinematics,3,Provide a detailed analysis of Kinematics and its importance.
Physics,Kinematics,1,Illustrate Kinematics with a diagram and explain its significance.
Physics,Kinematics,2,How does Kinematics relate to other concepts in Physics?
Physics,Kinematics,4,Write a short essay on Kinematics in Physics and its impact.
Physics,Waves,1,Describe the applications of Waves in real life.
Physics,Waves,4,Describe the applications of Waves in real life.
Physics,Waves,3,Compare and contrast different theories related to Waves in Physics.
Physics,Waves,4,Discuss the advantages and disadvantages of Waves in Physics.
Physics,Waves,4,Explain Waves in Physics with a suitable example.
Physics,Waves,2,Describe the applications of Waves in real life.
Physics,Waves,1,Provide a detailed analysis of Waves and its importance.
Physics,Waves,1,Explain Waves in Physics with a suitable example.
Physics,Waves,2,Provide a detailed analysis of Waves and its importance.
Physics,Waves,2,How does Waves relate to other concepts in Physics?
Physics,Modern Physics,1,How does Modern Physics relate to other concepts in Physics?
Physics,Modern Physics,3,Write a short essay on Modern Physics in Physics and its impact.
Physics,Modern Physics,1,Illustrate Modern Physics with a diagram and explain its significance.
Physics,Modern Physics,4,Explain Modern Physics in Physics with a suitable example.
Physics,Modern Physics,1,Write a short essay on Modern Physics in Physics and its impact.
Physics,Modern Physics,2,How does Modern Physics relate to other concepts in Physics?
